dataset,total_shots,seed,comparison,order_id,metric,deterministic_value,evaluated_unique_permutation_mean,difference,evaluated_unique_permutation_count
rte,2,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8599859985998599,0.8624778083819734,-0.0024918097821134966,2
rte,2,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.865,0.8625,0.0024999999999999467,2
rte,2,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8649696181640869,0.8624778083819734,0.0024918097821134966,2
rte,2,1,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.865,0.8625,0.0024999999999999467,2
rte,2,1,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8649696181640869,0.8624778083819734,0.0024918097821134966,2
rte,2,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.83,0.8274999999999999,0.0025000000000000577,2
rte,2,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8297275641025641,0.827256463085549,0.002471101017015087,2
rte,2,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.83,0.8274999999999999,0.0025000000000000577,2
rte,2,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8297275641025641,0.827256463085549,0.002471101017015087,2
rte,2,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.83,0.8274999999999999,0.0025000000000000577,2
rte,2,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8297275641025641,0.827256463085549,0.002471101017015087,2
rte,2,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.86,0.8625,-0.0025000000000000577,2
rte,2,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8598738864978481,0.8621505457193617,-0.002276659221513544,2
rte,2,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.86,0.8625,-0.0025000000000000577,2
rte,2,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8598738864978481,0.8621505457193617,-0.002276659221513544,2
rte,2,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.86,0.8625,-0.0025000000000000577,2
rte,2,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8598738864978481,0.8621505457193617,-0.002276659221513544,2
rte,2,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.865,0.8674999999999999,-0.0024999999999999467,2
rte,2,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8648344221671547,0.8673586583861497,-0.002524236218995002,2
rte,2,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.865,0.8674999999999999,-0.0024999999999999467,2
rte,2,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8648344221671547,0.8673586583861497,-0.002524236218995002,2
rte,2,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.865,0.8674999999999999,-0.0024999999999999467,2
